Date,Open,High,Low,Close,Adj Close,Volume,Open SMA(10),High SMA(10),Low SMA(10),Close SMA(10),Adj Close SMA(10),Volume SMA(10)
2021-02-11,1980,2064.199951,1972.25,2055.699951,2049.108154,19631870,1927.905017,1960.229993,1903.885010,1937.935010,1931.720813,13849659.600000
2021-02-12,2055.5,2078,2015.400024,2041.599976,2035.053345,14074374,1944.025012,1976.719995,1922.425012,1957.900012,1951.621790,13239771.200000
2021-02-15,2048.050049,2061.300049,2025,2032.599976,2026.082275,7287590,1962.890015,1992.350000,1940.125012,1971.630005,1965.307764,12391079.800000
2021-02-16,2039.75,2079.399902,2035,2059.5,2052.895996,9886093,1975.440015,2006.289990,1958.130017,1985.000000,1978.634888,11465847.700000
2021-02-17,2060,2095.949951,2050.600098,2083.25,2076.569824,10957388,1988.610010,2020.684985,1973.190027,2000.259998,1993.845947,11163163.700000
2021-02-18,2085,2108.399902,2059.100098,2067.699951,2061.06958,8605531,2004.710010,2037.524976,1988.600037,2014.599988,2008.139954,10841032.000000
2021-02-19,2057,2104.949951,2053.300049,2080.300049,2073.629395,10800704,2017.405005,2053.554968,2001.930042,2030.254993,2023.744763,10986655.400000
2021-02-22,2080,2089.899902,1994.949951,2008.099976,2001.660767,10985697,2032.100000,2065.644958,2008.520032,2035.919995,2029.391602,11107611.500000
2021-02-23,2048,2052.899902,2013.599976,2023.449951,2016.961548,11834752,2040.705005,2071.974951,2014.650024,2042.649988,2036.100012,11386355.900000
2021-02-24,2030,2065.25,2026.150024,2061,2054.391113,4987735,2048.330005,2080.024951,2024.535022,2051.319983,2044.742200,10905173.400000
2021-02-25,2076,2152,2073,2144.350098,2137.474121,16085897,2057.930005,2088.804956,2034.610022,2060.184998,2053.578796,10550576.100000
2021-02-26,2117,2133.899902,2070.699951,2085.800049,2079.111816,17297575,2064.080005,2094.394946,2040.140015,2064.605005,2057.984643,10872896.200000
2021-03-01,2110.199951,2112,2062.5,2101.699951,2094.960693,8159670,2070.294995,2099.464941,2043.890015,2071.515003,2064.872485,10960104.200000
2021-03-02,2122,2130,2089.100098,2106,2099.246826,7915073,2078.519995,2104.524951,2049.300024,2076.165003,2069.507568,10763002.200000
2021-03-03,2121.050049,2219.899902,2107.199951,2202.100098,2195.038818,14733134,2084.625000,2116.919946,2054.960010,2088.050012,2081.354468,11140576.800000
2021-03-04,2180,2189.949951,2157.699951,2175.850098,2168.873047,9892597,2094.125000,2125.074951,2064.819995,2098.865027,2092.134814,11269283.400000
2021-03-05,2156,2211.949951,2153.050049,2178.699951,2171.713623,11773630,2104.025000,2135.774951,2074.794995,2108.705017,2101.943237,11366576.000000
2021-03-08,2168.5,2231.899902,2168,2191.100098,2184.073975,9002404,2112.875000,2149.974951,2092.100000,2127.005029,2120.184558,11168246.700000
2021-03-09,2200,2213.800049,2146.600098,2191.050049,2184.02417,6993792,2128.075000,2166.064966,2105.400012,2143.765039,2136.890820,10684150.700000
2021-03-10,2207,2215.100098,2170.25,2181.949951,2174.953369,5316182,2145.775000,2181.049976,2119.810010,2155.860034,2148.947046,10716995.400000
2021-03-12,2195,2206.399902,2123.899902,2137.600098,2130.745605,7783173,2157.675000,2186.489966,2124.900000,2155.185034,2148.274194,9886723.000000
2021-03-15,2140.050049,2148.899902,2080.5,2108.899902,2102.137451,7706170,2159.980005,2187.989966,2125.880005,2157.495020,2150.576758,8927582.500000
2021-03-16,2114,2126,2095.5,2100.600098,2093.864258,6402757,2160.360010,2189.389966,2129.180005,2157.385034,2150.467114,8751891.200000
2021-03-17,2098.050049,2103,2035.099976,2055.350098,2048.759277,8865521,2157.965015,2186.689966,2123.779993,2152.320044,2145.418359,8846936.000000
2021-03-18,2072.899902,2084.800049,2001,2009.099976,2002.657593,9528809,2153.150000,2173.179980,2113.159998,2133.020032,2126.180237,8326503.500000
2021-03-19,1991,2095.850098,1982.800049,2082,2075.32373,19284892,2134.250000,2163.769995,2095.670007,2123.635022,2116.825305,9265733.000000
2021-03-22,2071,2074,2033.199951,2062.399902,2055.786621,8571196,2125.750000,2149.975000,2083.684998,2112.005017,2105.232605,8945489.600000
2021-03-23,2061.949951,2109.699951,2056,2087.5,2080.806152,8039865,2115.094995,2137.755005,2072.484998,2101.645007,2094.905823,8849235.700000
2021-03-24,2079.75,2079.75,2040.400024,2047.300049,2040.735107,7763726,2103.069995,2124.350000,2061.864990,2087.270007,2080.576916,8926229.100000
2021-03-25,2054,2054,1985,1991.449951,1985.064087,10153757,2087.769995,2108.239990,2043.339990,2068.220007,2061.587988,9409986.600000
2021-03-26,2012,2013.699951,1973.699951,1994.650024,1988.253906,9313160,2069.469995,2088.969995,2028.319995,2053.925000,2047.338818,9562985.300000
2021-03-30,2008,2048.899902,1991.550049,2029.300049,2022.792847,9433842,2056.264990,2078.969995,2019.425000,2045.965015,2039.404358,9735752.500000
2021-03-31,2018,2049.899902,1999,2003.099976,1996.676758,7499740,2046.664990,2071.359985,2009.775000,2036.215003,2029.685608,9845450.800000
2021-04-01,2018,2030,2003.150024,2021.849976,2015.366699,5410307,2038.659985,2064.059985,2006.580005,2032.864990,2026.346350,9499929.400000
2021-04-05,2024.949951,2025,1962.099976,1992.599976,1986.210449,6864856,2033.864990,2058.079980,2002.690002,2031.214990,2024.701636,9233534.100000
